id,instituicao,bairro,cep,cidade,descricao,fields/email,fields/endereco,fields/entidade_que_administra_o_abrigo,fields/estado,fields/facebook,idade,numero_de_criancas,pais,possui_programa_de_apadrinhamento_afetivo,responsavel,site,telefone,end_format,lat_long,user_inst,logo_img,autorizado,editado
136,Lar judith angela paganini corcelli,Vila Esperança,3649010,São Paulo,,larjudith@terra.com.br,rua heloisa penteado 317,,SP,,de 0 a 18 anos,14,Brasil,,,,11-2791-4341,"['Rua Heloísa Penteado, 317, Penha, São Paulo - SP, 03649-010, Brasil, São Paulo, SP 03649-010, BRA', (-23.52452, -46.5224)]","-23.52452,-46.5224",,,false,false
137,Casa do amparo fraterno jesus de nazare,Vila Gomes,5591010,São Paulo,,casadoamparo@casadoamparo.org.br,rua embaixador cavalcante de lacerda 285,,SP,,de 0 a 18 anos,,Brasil,,Luiz Teixeira,http //casadoamparo.org.br,11-3721-6787,"['Avenida Embaixador Cavalcânti de Lacerda, 285, Butantã, São Paulo - SP, 05591-010, Brasil, São Paulo, SP 05591-010, BRA', (-23.57754, -46.73645)]","-23.57754,-46.73645",,,false,false
138,Lar sirio pró infância - abrigo i,Vila Gomes Cardim,3318000,São Paulo,,,rua serra de bragança 1086 apto 2,,SP,,de 0 a 18 anos,40,Brasil,,,,11-2192-4811,"['Rua Serra de Bragança, 1086, Tatuapé, São Paulo - SP, 03318-000, Brasil, São Paulo, SP 03318-000, BRA', (-23.5446, -46.56536)]","-23.5446,-46.56536",,,false,false
139,Lar sirio pró infância - abrigo ii,Vila Gomes Cardim,3318000,São Paulo,,,rua serra de bragança 1086 apto 1,,SP,,de 0 a 18 anos,40,Brasil,,,,11-2192-4811,"['Rua Serra de Bragança, 1086, Tatuapé, São Paulo - SP, 03318-000, Brasil, São Paulo, SP 03318-000, BRA', (-23.5446, -46.56536)]","-23.5446,-46.56536",,,false,false
140,Betsaida,Vila Guedes,5134140,São Paulo,,betsaida@terra.com.br,rua itapiracó 101,,SP,,de 0 a 18 anos,20,Brasil,,,,11-3902-6648,"['Rua Itapiracó, 101, São Domingos, São Paulo - SP, 05134-140, Brasil, São Paulo, SP 05134-140, BRA', (-23.48848, -46.74243)]","-23.48848,-46.74243",,,false,false
141,Edel quinn,Vila Guilherme,2066000,São Paulo,Ligado a ONG COR - Centro de Orientação a Família.,CORFAMILIA@UOL.COM.BR,rua ida silva 165,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2901-5378,"['Rua Ida da Silva, 165, Vila Guilherme, São Paulo - SP, 02066-000, Brasil, São Paulo, SP 02066-000, BRA', (-23.50662, -46.60865)]","-23.50662,-46.60865",,,false,false
142,Lar solid brasil,Vila Guilherme,02075-000,São Paulo,,contato@institutosrbrasil.org.br,rua josé gonçalves gomide 336,Instituto Solid Rock Brasil,SP,http //www.facebook.com/pages/Lar-Solid-Rock-Brasil/130239100404814,de 0 a 17 anos,20,Brasil,,Miriam,http //www.institutosrbrasil.org.br/,11-2905-2939,"['Rua José Gonçalves Gomide, 336, Vila Guilherme, São Paulo - SP, 02075-000, Brasil, São Paulo, SP 02075-000, BRA', (-23.50526, -46.6029)]","-23.50526,-46.6029",,,false,false
143,Movimento Apoio a Integração Social,Vila Guilhermina,03545-020,São Paulo,,mais.mais@zipmail.com.br,"Rua Jandáia Do Sul, 57",,SP,,,,Brasil,,,,(11) 2682-1634,"['Rua Jandáia do Sul, 57, Vila Guilhermina, São Paulo - SP, 03545-020, Brasil, São Paulo, SP 03545-020, BRA', (-23.52908, -46.51475)]","-23.52908,-46.51475",,,false,false
144,Associação Civil O Cantinho Que Encontrei,Bela Aliança,05089-000,São Paulo,,cantinhoqueencontrei@hotmail.com,"Rua Guaipá, 120",,SP,,de 0 a 18 anos,20,Brasil,,,,(11) 3641-9199,"['Rua Guaipá, 120, Vila Leopoldina, São Paulo - SP, 05088-000, Brasil, São Paulo, SP 05088-000, BRA', (-23.52128, -46.72335)]","-23.52128,-46.72335",,,false,false
145,Associação Marly Cury,Pinheiros,05404-010,São Paulo,,abrigo@associacaomarlycury.org.br,"Rua Alves Guimarães, 257",,SP,https://www.facebook.com/pages/category/Community-Organization/Associa%C3%A7%C3%A3o-Marly-Cury-289224211098765/,de 0 a 18 anos,20,Brasil,,,,(11) 3021-1262,"['Rua Alice Macuco Alves, 89, Alto de Pinheiros, São Paulo - SP, 05453-010, Brasil, São Paulo, SP 05453-010, BRA', (-23.53977, -46.70665)]","-23.53977,-46.70665",,,false,false
146,2º Lar - Carlos Afonso Lopes,Vila Marari,04401-090,São Paulo,,voluntariado@helendrexel.org.br,"Rua Frei João do Rosário, 12",Associação Maria Helen Drexel - AMHD,SP,,,,Brasil,,,www.helendrexel.org.br,(11) 3628-1891,"['Rua Frei João do Rosário, 12, Cidade Ademar, São Paulo - SP, 04401-090, Brasil, São Paulo, SP 04401-090, BRA', (-23.66807, -46.66474)]","-23.66807,-46.66474",,,false,false
147,5º Lar - Nossa Senhora das Graças,Vila Marari,04401-090,São Paulo,,voluntariado@helendrexel.org.br,"Rua Frei João do Rosário, 16",Associação Maria Helen Drexel - AMHD,SP,,,,Brasil,,,www.helendrexel.org.br,(11) 3628-1891,"['Rua Frei João do Rosário, 16, Cidade Ademar, São Paulo - SP, 04401-090, Brasil, São Paulo, SP 04401-090, BRA', (-23.66811, -46.66473)]","-23.66811,-46.66473",,,false,false
148,Abrigo Minha Casa,Vila Mariana,04017-050,São Paulo,Ligado a ONG Associação Beneficente Santa Fé.,santafe@santafe.org.br,"Rua Professor Frontino Guimarães, 245",,SP,,de 0 a 18 anos,20,Brasil,,,,(11) 5539-1442,"['Rua Professor Frontino Guimarães, 245, Vila Mariana, São Paulo - SP, 04017-050, Brasil, São Paulo, SP 04017-050, BRA', (-23.59062, -46.64023)]","-23.59062,-46.64023",,,false,false
149,Abrigo Vovó Ilza,Vila Mariana,04016-000,São Paulo,Ligado a ONG Associação Beneficente Santa Fé.,ongsantafe@gmail.com,"Rua Conde de Irajá, 171",,SP,,de 0 a 17 anos,20,Brasil,,,,(11) 5549-0223,"['Rua Conde de Irajá, 171, Vila Mariana, São Paulo - SP, 04119-010, Brasil, São Paulo, SP 04119-010, BRA', (-23.59147, -46.63364)]","-23.59147,-46.63364",,,false,false
150,Lar Tia Edna,Bosque da Saúde,04043-000,São Paulo,"O Lar fui fundado em 1957, por uma missionária americana chamada Edna Deakins.
Sua maior motivação foi devida a um pequeno bebê que foi  abandonado em frente à sua porta. Ela deu-lhe o nome de Sergio e ele tornou-se seu primeiro filho e a razão principal da existência do “Lar Tia Edna”.
Edna Deakins viu a necessidade do Brasil em relação a menores carentes e então largou tudo que tinha nos Estados Unidos e rumou para o Brasil com uma amiga Suíça para dar inicio a este trabalho. Edna não tinha dinheiro e dependeu unicamente de alguns irmãos que a ajudaram. O maior mantenedor sempre foi Deus.
O objetivo da Tia Edna era o de dar aos órfãos e crianças abandonadas um lar onde fossem cuidadas com carinho, numa atmosfera familiar. Tia Edna era chamada de mamãe por todas as crianças e cuidou de mais de 200 filhos ao longo de trinta anos. Ela nunca se preocupou em como iria conseguir cuidar e alimentar tantas crianças.",lartiaedna@gmail.com,Rua Luís Góis. 262,,SP,,de 12 a 18 anos,21,Brasil,,Henry ou Nilma,http://www.lartiaedna.com.br,(11) 2577-2043,"['Rua Luís Góis, 262, Saúde, São Paulo - SP, 04043-250, Brasil, São Paulo, SP 04043-250, BRA', (-23.6039651, -46.6298254)]","-23.6039651,-46.6298254",,,false,false
151,ABECAL Ipiranga,Ipiranga,04261-070,São Paulo,Ligada a ONG Sociedade Beneficente São Camilo.,abrigoipi@ig.com.br,"Rua Armorial, 16",,SP,,de 0 a 18 anos,20,Brasil,,,http //www.camilianos.org.br/Detalhes_Hospi.asp?id=44,(11) 3806-2883,"['Rua Amorial, 16, Ipiranga, São Paulo - SP, 04261-070, Brasil, São Paulo, SP 04261-070, BRA', (-23.58014, -46.61092)]","-23.58014,-46.61092",,,false,false
152,Lar Escola Cairbar Schutel I,Vila Morse,05623-010,São Paulo,,,"Rua Francisco Preto, 213",,SP,,de 0 a 18 anos,20,Brasil,,,,(11) 3742-0516,"['Rua Francisco Preto, 213, Vila Sônia, São Paulo - SP, 05623-010, Brasil, São Paulo, SP 05623-010, BRA', (-23.60106, -46.72769)]","-23.60106,-46.72769",,,false,false
153,Lar Escola Cairbar Schutel II,Vila Morse,05623-010,São Paulo,,haercio@uol.com.br,"Rua Francisco Preto, 199",,SP,,de 0 a 17 anos,20,Brasil,,,,(11) 2679-3739,"['Rua Francisco Preto, 199, Vila Sônia, São Paulo - SP, 05623-010, Brasil, São Paulo, SP 05623-010, BRA', (-23.60104, -46.72769)]","-23.60104,-46.72769",,,false,false
154,Sol e Vida,Vila Pauliceia,02301-070,São Paulo,Ligado a ONG COR - Centro de Orientação a família.,,"Rua George Oetterer, 190",,SP,,de 0 a 18 anos,20,Brasil,,,,(11) 2959-7788,"['Rua George Oeterer, 190, Santana, São Paulo - SP, 02301-070, Brasil, São Paulo, SP 02301-070, BRA', (-23.49174, -46.61453)]","-23.49174,-46.61453",,,false,false
155,Cruzada Pró- Infância,Vila Pirajussara,05579-020,São Paulo,,CRUZADA@CRUZADA.ORG.BR,"Rua Acangueruçu, 142",,SP,,de 0 a 18 anos,20,Brasil,,,,(11)3726-1162,,,,,false,false
156,Lar Batista de Crianças,Liberdade,01526-010,São Paulo,"Ligado a ONG Lar Batista de Crianças.

Fazer o bem pode ser um grande diferencial para o seu coração e um super negócio para sua empresa.",promocao@larbatista.com.br,"Rua Bueno de Andrade, 266",,SP,https://www.facebook.com/lbcaclimacao/,de 0 a 18 anos,20,Brasil,,,,(11) 3208-1400,"['Rua Miguel Gonçalves Correia, 606, Campo Limpo, São Paulo - SP, 05786-160, Brasil, São Paulo, SP 05786-160, BRA', (-23.63741, -46.77472)]","-23.63741,-46.77472",,,false,false
157,Lar Batista de Crianças de Pirajussara,Vila Pirajussara,05786-160,São Paulo,,pirajussara@larbatista.com.br,"Rua Miguel Gonçalves Correia, 606",,SP,,de 0 a 17 anos,20,Brasil,,,http://www.larbatista.com.br,(11)5841-1575,"['Rua Miguel Gonçalves Correia, 606, Campo Limpo, São Paulo - SP, 05786-160, Brasil, São Paulo, SP 05786-160, BRA', (-23.63741, -46.77472)]","-23.63741,-46.77472",,,false,false
158,Casa Irmão Genésio Dalmônico,Vila Princesa Isabel,08410-160,São Paulo,Ligada a ONG Obra Social Dom Bosco.,geral@domboscoitaquera.org.br,"Rua Serra do Mar, 46",,SP,,de 0 a 18 anos,20,Brasil,,,,(11)2552-6715,"['Rua Serra do Mar, 46, Guaianases, São Paulo - SP, 08410-160, Brasil, São Paulo, SP 08410-160, BRA', (-23.54658, -46.41653)]","-23.54658,-46.41653",,,false,false
159,Casa Abrigo Rogacionista,Vila Romana,05049-000,São Paulo,,,"Rua Catão, 1422",,SP,,de 0 a 18 anos,20,Brasil,,,,(11)3801-2861,"['Rua Catão, 1422, Lapa, São Paulo - SP, 05049-000, Brasil, São Paulo, SP 05049-000, BRA', (-23.5328, -46.69989)]","-23.5328,-46.69989",,,false,false
160,Abrigo Capela do Socorro,Vila Santa Maria,04810-010,São Paulo,Ligada a ONG Sociedade Beneficente São Camilo.,abrigo.capelasocorro@ig.com.br,"Rua Valter Ribeiro Marrany, 152",,SP,,de 0 a 18 anos,20,Brasil,,,http //www.camilianos.org.br/Detalhes_Hospi.asp?id=45,-11,"['Rua Válter Ribeiro Marrany, 152, Cidade Dutra, São Paulo - SP, 04810-010, Brasil, São Paulo, SP 04810-010, BRA', (-23.71327, -46.69683)]","-23.71327,-46.69683",,,false,false
161,Abrigo Sai Artur Alvim,Vila Santa Teresa,03565-050,São Paulo,,sai.alvim@caspiedade.org.br,"Rua Doutor Emanuel Dias, 371",,SP,,,,Brasil,,,,11-2712-1160,"['Rua Doutor Emanuel Dias, 371, Artur Alvim, São Paulo - SP, 03565-050, Brasil, São Paulo, SP 03565-050, BRA', (-23.53878, -46.49307)]","-23.53878,-46.49307",,,false,false
162,Lar Cairbar Schutel III,Vila Sônia,05632-010,São Paulo,"O Lar Escola Cairbar Schutel (LECS), instituição que atende crianças e adolescentes em situação de risco social, espera ampliar o número de voluntários com o passar dos anos.",monain@uol.com.br,"Rua Francisco Preto, 213",,SP,,de 0 a 17 anos,20,Brasil,,Monain,www.cairbarschutel.org,11-3746-7032,"['Rua Francisco Preto, 213 - Vila Morse, São Paulo - SP, 05632-010, Brasil, São Paulo, SP 05632-090, BRA', (-23.59647, -46.7323)]","-23.59647,-46.7323",,,false,false
